2025-09-14 13:43:47,138 [INFO] 100,000 games scanned | Reservoir filled: 100,000 | Elapsed: 0.12 min
2025-09-14 13:43:54,051 [INFO] 200,000 games scanned | Reservoir filled: 200,000 | Elapsed: 0.23 min
2025-09-14 13:44:00,956 [INFO] 300,000 games scanned | Reservoir filled: 300,000 | Elapsed: 0.35 min
2025-09-14 13:44:07,926 [INFO] 400,000 games scanned | Reservoir filled: 400,000 | Elapsed: 0.46 min
2025-09-14 13:44:14,946 [INFO] 500,000 games scanned | Reservoir filled: 500,000 | Elapsed: 0.58 min
2025-09-14 13:44:21,779 [INFO] 600,000 games scanned | Reservoir filled: 600,000 | Elapsed: 0.70 min
2025-09-14 13:44:28,642 [INFO] 700,000 games scanned | Reservoir filled: 700,000 | Elapsed: 0.81 min
2025-09-14 13:44:35,504 [INFO] 800,000 games scanned | Reservoir filled: 800,000 | Elapsed: 0.92 min
2025-09-14 13:44:42,369 [INFO] 900,000 games scanned | Reservoir filled: 900,000 | Elapsed: 1.04 min
2025-09-14 13:44:49,236 [INFO] 1,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.15 min
2025-09-14 13:44:56,375 [INFO] 1,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.27 min
2025-09-14 13:45:03,514 [INFO] 1,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.39 min
2025-09-14 13:45:10,649 [INFO] 1,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.51 min
2025-09-14 13:45:17,739 [INFO] 1,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.63 min
2025-09-14 13:45:24,808 [INFO] 1,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.75 min
2025-09-14 13:45:31,826 [INFO] 1,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.86 min
2025-09-14 13:45:38,943 [INFO] 1,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.98 min
2025-09-14 13:45:46,018 [INFO] 1,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.10 min
2025-09-14 13:45:53,363 [INFO] 1,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.22 min
2025-09-14 13:46:00,517 [INFO] 2,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.34 min
2025-09-14 13:46:07,588 [INFO] 2,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.46 min
2025-09-14 13:46:14,711 [INFO] 2,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.58 min
2025-09-14 13:46:21,853 [INFO] 2,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.70 min
2025-09-14 13:46:28,953 [INFO] 2,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.81 min
2025-09-14 13:46:36,046 [INFO] 2,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.93 min
2025-09-14 13:46:43,129 [INFO] 2,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.05 min
2025-09-14 13:46:50,258 [INFO] 2,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.17 min
2025-09-14 13:46:57,459 [INFO] 2,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.29 min
2025-09-14 13:47:04,786 [INFO] 2,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.41 min
2025-09-14 13:47:12,100 [INFO] 3,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.53 min
2025-09-14 13:47:19,381 [INFO] 3,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.66 min
2025-09-14 13:47:26,493 [INFO] 3,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.77 min
2025-09-14 13:47:33,617 [INFO] 3,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.89 min
2025-09-14 13:47:40,875 [INFO] 3,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.01 min
2025-09-14 13:47:47,939 [INFO] 3,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.13 min
2025-09-14 13:47:54,953 [INFO] 3,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.25 min
2025-09-14 13:48:01,979 [INFO] 3,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.37 min
2025-09-14 13:48:08,938 [INFO] 3,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.48 min
2025-09-14 13:48:15,883 [INFO] 3,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.60 min
2025-09-14 13:48:22,835 [INFO] 4,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.71 min
2025-09-14 13:48:29,791 [INFO] 4,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.83 min
2025-09-14 13:48:36,717 [INFO] 4,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.94 min
